행정동_코드,기준_년분기_코드,점포수_대비_매출액_log,음식_지출_총금액_log,의료비_지출_총금액_log,교육_지출_총금액_log,아파트_평균_시가_log,아파트_단지_수_log,유동인구_10_30대_log,유동인구_40_이상_log,총_직장인구_수_log,총_상주인구_수,집객시설_수_log,상권_변화_지표_LL,상권_변화_지표_HL,상권_변화_지표_LH,개업_률,폐업_률,1인_가구비_log,20_30_인구비_log,31_50_인구비_log,업소수_log,착한가격_업소수_비중,착한가격_업소수_비중_log,분기_20241,분기_20242,분기_20243,분기_20244,업소수,점포_수,행정동
11110515,20234,0.036559160929208974,0.3839753698723897,-0.9909865343170099,-0.31831971667316256,-0.10472983479864456,0.5588517454691695,-0.44632902350659104,-0.6945036940281972,0.4871064989063343,-1.3253412561964906,-0.4281964150054573,False,False,True,-1.1622708055293576,0.026687686238066048,-0.209165645379942,-0.3265387997573159,1.0460159975031997,0.0,0.0,0.0,False,False,False,False,0.0,192,청운효자동
11110515,20241,-0.22113303234083764,-0.62107605401321,-1.9870299611244193,-1.0861054863591593,-0.10472983479864456,0.5588517454691695,-0.4754500699182181,-0.684738307532652,0.4871064989063343,-1.3253412561964906,-0.4281964150054573,False,False,True,0.4035240839904823,0.026687686238066048,-0.21119531306380795,-0.36919818571906743,0.9654661656027728,0.0,0.0,0.0,True,False,False,False,0.0,193,청운효자동
11110515,20242,-0.04248365977787879,0.433091077691547,-1.0547281620195492,-0.2104628596210591,-0.10472983479864456,0.5588517454691695,-0.371267659836376,-0.6756694688589051,0.4871064989063343,-1.3253412561964906,-0.4281964150054573,False,False,True,-0.11840754584946443,-0.49358463001124164,-0.2182507397552392,-0.430698433683485,0.8454968555826897,1.0986122886681098,0.01,0.009950330853168083,False,True,False,False,2.0,196,청운효자동
11110515,20243,-0.45371008796270085,-0.7504656648798254,-1.8793009591125283,-1.1809639756443855,-0.10472983479864456,0.5588517454691695,-0.5439677925918369,-0.7510179260807639,0.4871064989063343,-1.3253412561964906,-0.4281964150054573,False,False,True,-0.11840754584946443,0.5469600024873738,-0.22108547708345969,-0.49594290181759965,0.7261541107230538,1.0986122886681098,0.01,0.009950330853168083,False,False,True,False,2.0,194,청운효자동
11110515,20244,0.23689286916070626,0.49927857322794245,-1.0821283011170766,-0.08945616400674923,-0.10472983479864456,0.5588517454691695,-0.4593683275394781,-0.7077745424507327,0.4803232001832883,-1.3253412561964906,-0.4281964150054573,False,False,True,-0.6403391756894111,-0.49358463001124164,-0.14936547846665763,-0.5595203777755664,0.6057974813413335,1.0986122886681098,0.01,0.009950330853168083,False,False,False,True,2.0,194,청운효자동
11110530,20234,1.7385690054412135,2.0754688578573863,1.349042526066602,0.2092812069336319,0.38649280786304324,-1.1929862173678454,-0.3360533517037203,-0.32202057361595254,1.8409038782637577,-1.6043586595535193,1.3634960046092015,False,False,False,-0.11840754584946443,-0.49358463001124164,0.8313915259653375,-0.08937400100702379,0.15598825190348495,0.0,0.0,0.0,False,False,False,False,0.0,661,사직동
11110530,20241,1.4285460156525558,0.9713391079845651,0.27610997350244826,-0.6311651054974591,0.38649280786304324,-1.1929862173678454,-0.4414994728287963,-0.40627057748719514,1.8409038782637577,-1.6043586595535193,1.3634960046092015,False,False,False,-0.6403391756894111,-0.49358463001124164,0.7917881228733257,-0.6521630510063499,-0.03018679771763762,1.0986122886681098,0.003,0.002995508979798479,True,False,False,False,2.0,663,사직동
11110530,20242,1.5562944516230146,2.0384801766050216,1.2318057500300454,0.32856406242274194,0.38649280786304324,-1.1929862173678454,-0.43552411042239847,-0.41514400024526177,1.8409038782637577,-1.6043586595535193,1.3634960046092015,False,False,False,-0.6403391756894111,-0.49358463001124164,0.7534953318209091,-1.1059754713478456,0.08765218665344543,1.6094379124341003,0.006,0.005982071677547464,False,True,False,False,4.0,668,사직동
11110530,20243,1.4168388066898414,1.05822224762156,0.45796630576628705,-0.2469827940893431,0.38649280786304324,-1.1929862173678454,-0.5233742887834874,-0.4779862509192347,1.8409038782637577,-1.6043586595535193,1.3634960046092015,False,False,False,-0.11840754584946443,-0.49358463001124164,0.7496373320416719,-0.9851108075475016,0.14877537960672577,1.6094379124341003,0.006,0.005982071677547464,False,False,True,False,4.0,671,사직동
11110530,20244,1.713207820791154,2.114090642821164,1.1844163140496649,0.6144903316613091,0.38649280786304324,-1.1929862173678454,-0.390470523385785,-0.3150594266684633,1.9452235761712646,-1.6043586595535193,1.3634960046092015,False,False,False,-0.6403391756894111,-1.0138569462605491,0.7739500600352388,-1.0725542777732808,0.1348134972466645,1.6094379124341003,0.006,0.005982071677547464,False,False,False,True,4.0,674,사직동
11110550,20234,-0.4013721467343616,0.12943663368321154,-1.2756999898220134,-0.451575321737283,-0.20708289365251784,-0.16947070917820325,-2.652022966070287,-2.791922581635274,-0.6281316303917232,-1.5993420795274083,-0.6575043872242657,False,False,False,-0.6403391756894111,1.5875046349859891,-0.06471078960567148,0.6682260749816616,-0.19583561288871404,0.0,0.0,0.0,False,False,False,False,0.0,76,부암동
11110550,20241,-0.9965433487432133,-1.0590392448191726,-2.188824211558126,-1.3990161982816798,-0.20708289365251784,-0.16947070917820325,-2.859901140784285,-2.8880440494918993,-0.6281316303917232,-1.5993420795274083,-0.6575043872242657,False,False,False,-1.6842024353693041,-1.5341292625098566,-0.04004772451874427,0.6233667719289769,-0.27376070413805426,0.0,0.0,0.0,True,False,False,False,0.0,76,부암동
11110550,20242,-0.4460190746943006,0.07538710287275821,-1.2383846531065605,-0.3505634406248203,-0.20708289365251784,-0.16947070917820325,-3.0080508619345925,-3.306838168433538,-0.6281316303917232,-1.5993420795274083,-0.6575043872242657,False,False,False,-0.11840754584946443,0.026687686238066048,-0.027893623060315797,0.5277617925808485,-0.4418920664858788,0.0,0.0,0.0,False,True,False,False,0.0,76,부암동
11110550,20243,-1.0828772603407768,-1.2396894755220604,-2.0076958910115157,-1.1867475120798083,-0.20708289365251784,-0.16947070917820325,-3.1334008863767817,-3.2412680998578067,-0.6281316303917232,-1.5993420795274083,-0.6575043872242657,False,False,False,-0.6403391756894111,-2.054401578759164,-0.04768201316292424,0.48519287331574856,-0.5249907055467808,0.0,0.0,0.0,False,False,True,False,0.0,78,부암동
11110550,20244,-0.49737524432367275,0.1565336832666543,-1.2041165370169615,-0.4895414784170355,-0.20708289365251784,-0.16947070917820325,-2.984465904047624,-3.1925382230662973,-0.383041755233459,-1.5993420795274083,-0.6575043872242657,False,False,False,-1.6842024353693041,-0.49358463001124164,0.009584561693901022,0.4300824832081875,-0.6260181085645322,0.0,0.0,0.0,False,False,False,True,0.0,77,부암동
11110560,20244,-0.1626720603417327,0.2373969712526923,-0.3637449799258835,0.39407874779669855,0.8159331174035209,0.4310023777306294,-3.4138669839778943,-3.1300138970598996,1.1852008532679716,-0.6041481562522533,0.8221654594549119,False,False,False,-0.6403391756894111,-1.0138569462605491,-1.0261091029081888,-0.9778061029643085,-0.40266702885126154,0.0,0.0,0.0,False,False,False,True,0.0,87,평창동
11110570,20234,0.5265778730207752,-1.4239540915097564,1.1189500457492407,-0.8097896388840753,1.3423303043564558,-2.060724789289521,-1.8626002999978497,-1.7572063982409567,-1.2539753660358157,-1.7272648701932378,-2.2191075212440574,False,False,False,2.4912506033502684,0.026687686238066048,-0.71411314314056,-1.2556169020054033,1.3682295628176653,0.0,0.0,0.0,False,False,False,False,0.0,23,무악동
11110570,20241,0.523715627357936,-2.4171590519276713,0.3899802136745763,-1.6138138623914902,1.3423303043564558,-2.060724789289521,-1.9202421529320977,-1.8121291784115932,-1.2539753660358157,-1.7272648701932378,-2.2191075212440574,False,False,False,-2.206134065209251,0.5469600024873738,-0.7389461685499756,-1.2991168695289843,1.2880990637693885,0.0,0.0,0.0,True,False,False,False,0.0,22,무악동
11110570,20242,0.6507162428767721,-1.3320991082149394,1.2732971855223798,-0.7004017954804963,1.3423303043564558,-2.060724789289521,-2.008494025987753,-1.8758049064995705,-1.2539753660358157,-1.7272648701932378,-2.2191075212440574,False,False,False,-2.206134065209251,-2.054401578759164,-0.6765469964268598,-1.4137691217322306,1.1156093283629305,0.0,0.0,0.0,False,True,False,False,0.0,22,무악동
11110570,20243,0.46398687774877007,-2.382960463339842,0.5306619923238834,-1.5371892334664257,1.3423303043564558,-2.060724789289521,-1.9057516307143394,-1.7699515685578482,-1.2539753660358157,-1.7272648701932378,-2.2191075212440574,False,False,False,-2.206134065209251,-2.054401578759164,-0.6749859688883426,-1.473273687597778,0.9787935785208088,0.0,0.0,0.0,False,False,True,False,0.0,22,무악동
11110570,20244,0.47651259909727184,-1.4048044053576927,1.3867411683732391,-0.8328454925137417,1.3423303043564558,-2.060724789289521,-2.009153076499893,-1.8998456068608427,-1.1603123691246557,-1.7272648701932378,-2.2191075212440574,False,False,False,-2.206134065209251,-2.054401578759164,-0.6067150453218335,-1.5052732295591638,0.9207962345448076,0.0,0.0,0.0,False,False,False,True,0.0,22,무악동
11110580,20234,0.27900725154607736,-0.4444438381873097,0.7411885329963478,0.16824949362425876,-0.3721628408851273,0.1032509288958342,-0.45362137001658714,-0.4749972577836037,-0.9198886591530094,-1.5180018176754664,-0.8244635047346556,False,False,True,0.9254557138304286,-1.0138569462605491,-0.04211092756235865,-1.2237530456896084,0.6654867304593973,0.0,0.0,0.0,False,False,False,False,0.0,66,교남동
11110580,20241,0.229204928709951,-1.4511218941162392,-0.14202079635965426,-0.43320901262304917,-0.3721628408851273,0.1032509288958342,-0.3869815022403063,-0.38959605714419904,-0.9198886591530094,-1.5180018176754664,-0.8244635047346556,False,False,True,-0.6403391756894111,-0.49358463001124164,0.023254757072177827,-1.8874506404844205,0.4459301345218787,0.0,0.0,0.0,True,False,False,False,0.0,66,교남동
11110580,20242,0.2679493382179682,-0.4402902115341791,0.7655195615097881,0.4573653876395379,-0.3721628408851273,0.1032509288958342,-0.39767538667145835,-0.3995500974324079,-0.9198886591530094,-1.5180018176754664,-0.8244635047346556,False,False,True,-1.1622708055293576,-1.0138569462605491,0.024615893336006875,-2.345207527797645,0.6257416385194216,0.0,0.0,0.0,False,True,False,False,0.0,66,교남동
11110580,20243,-0.03816668001445384,-1.4276647521733488,0.04448862906138283,-0.3875377712047806,-0.3721628408851273,0.1032509288958342,-0.4131202295796194,-0.4088743880974555,-0.9198886591530094,-1.5180018176754664,-0.8244635047346556,False,False,True,-0.6403391756894111,-2.054401578759164,0.024174735532732434,-2.3196179471904803,0.7701157242683397,0.0,0.0,0.0,False,False,True,False,0.0,68,교남동
11110580,20244,0.11667898463826185,-0.4612836481893645,0.869396580547012,0.34178362039321064,-0.3721628408851273,0.1032509288958342,-0.3076746140809891,-0.2994608167774652,-0.7601606214400333,-1.5180018176754664,-0.8244635047346556,False,False,True,-2.206134065209251,-2.054401578759164,0.10954689764502272,-2.250544068195498,0.6888847151827338,0.0,0.0,0.0,False,False,False,True,0.0,68,교남동
11110600,20234,2.1805614056267535,0.8302181841712677,-2.204274437527034,-0.7467788514643344,-0.05374301880877395,-0.7205183258242627,-2.4073162520064746,-2.6702344423170343,0.9595327499437836,-2.218650827988964,-1.3056282468338454,False,False,False,-0.6403391756894111,0.026687686238066048,1.170245276286708,-0.564898509034206,0.3234523539875554,0.0,0.0,0.0,False,False,False,False,0.0,159,가회동
11110600,20241,2.0676661655212585,-0.24545843139538948,-3.0582673482486697,-1.4804752731513033,-0.05374301880877395,-0.7205183258242627,-2.610069856990082,-2.764862498299039,0.9595327499437836,-2.218650827988964,-1.3056282468338454,False,False,False,-0.11840754584946443,1.067232318736681,1.1826258364353472,-0.6092619688044981,0.2322630313021794,0.6931471805599453,0.006,0.005982071677547464,True,False,False,False,1.0,156,가회동
11110600,20242,2.3301993170447775,0.8424411590206351,-2.1047678738084734,-0.4989971666109451,-0.05374301880877395,-0.7205183258242627,-2.2917873866432514,-2.667996555837489,0.9595327499437836,-2.218650827988964,-1.3056282468338454,False,False,True,-2.206134065209251,-1.0138569462605491,1.1572111540297954,-0.682736989581459,0.09473646039865782,0.6931471805599453,0.007,0.006975613736425242,False,True,False,False,1.0,153,가회동
11110600,20243,1.8796218458587788,-0.27598127327217464,-2.8073230959497844,-1.3927159410841992,-0.05374301880877395,-0.7205183258242627,-2.4266108126039234,-2.7363628313275594,0.9595327499437836,-2.218650827988964,-1.3056282468338454,False,False,True,1.4473873436703757,1.067232318736681,1.1489651340737213,-0.7574256904063704,-0.044990665310691805,0.6931471805599453,0.006,0.005982071677547464,False,False,True,False,1.0,155,가회동
11110600,20244,2.4395439661770806,0.8564010940110898,-2.258977584961852,-0.33271457948324695,-0.05374301880877395,-0.7205183258242627,-2.399685894642815,-2.7009065428242085,1.091439106376348,-2.218650827988964,-1.3056282468338454,False,False,True,-1.1622708055293576,-0.49358463001124164,1.164565575422687,-0.8366849282788074,-0.17082986834967798,0.6931471805599453,0.007,0.006975613736425242,False,False,False,True,1.0,153,가회동
11110640,20234,1.1397747912740457,1.284147234525121,1.4844330518664275,-0.21004851533400712,-1.3117401563902158,-0.013398339345796088,0.02219183293700883,-0.6156899759888946,-0.461828737689958,-1.8553071032406414,0.12720171939212085,False,False,True,-0.6403391756894111,1.067232318736681,1.636550600533454,2.7529053916661814,-1.633638387521271,0.0,0.0,0.0,False,False,False,False,0.0,215,이화동
11110640,20241,0.7871541654536937,0.20840156372943353,0.6185979483121614,-1.078194982075739,-1.3117401563902158,-0.013398339345796088,0.019698764635438876,-0.5346884842061241,-0.461828737689958,-1.8553071032406414,0.12720171939212085,False,False,True,0.9254557138304286,-0.49358463001124164,1.6410683803140693,2.6416376244973048,-1.8388130501234041,1.0986122886681098,0.009,0.008959741371471904,True,False,False,False,2.0,222,이화동
11110640,20242,0.8632229012001482,1.2259048341413143,1.45709431823602,-0.054427773249889976,-1.3117401563902158,-0.013398339345796088,0.11880847860087945,-0.5746339908212919,-0.461828737689958,-1.8553071032406414,0.12720171939212085,False,False,True,0.9254557138304286,2.107776951235296,1.6358063853689895,2.6086652311253125,-1.9297832823236092,1.0986122886681098,0.009,0.008959741371471904,False,True,False,False,2.0,218,이화동
11110640,20243,0.9890326874344756,0.33557953781398014,0.7173716403414354,1.5749008449133284,-1.3117401563902158,-0.013398339345796088,0.06689524748413228,-0.570084141473181,-0.461828737689958,-1.8553071032406414,0.12720171939212085,False,False,True,-1.1622708055293576,-0.49358463001124164,1.6555514155384699,2.5727882633981616,-2.0231694057504206,1.0986122886681098,0.009,0.008959741371471904,False,False,True,False,2.0,216,이화동
11110640,20244,1.250315265836328,1.2918257321168398,1.4634918321506487,0.17650771327038722,-1.3117401563902158,-0.013398339345796088,0.23477847722082315,-0.40394220083336474,-0.3293824307571152,-1.8553071032406414,0.12720171939212085,False,False,True,-0.6403391756894111,-0.49358463001124164,1.6564227677002807,2.538197585353265,-2.1165107857804206,1.0986122886681098,0.009,0.008959741371471904,False,False,False,True,2.0,216,이화동
11110650,20234,1.2618801923874305,1.718276670582778,1.2065239834073984,0.42810540586136653,-0.7292159822117548,0.49422543497852084,1.8550603815950466,0.471741849363166,0.34054424186456156,-0.7872533272053033,0.5724012286596175,False,False,False,-0.11840754584946443,-1.0138569462605491,1.7626018904787384,3.3921515589980786,-2.5176024323990536,0.0,0.0,0.0,False,False,False,False,0.0,400,혜화동
11110650,20241,0.9363489819318463,0.689217550449343,0.43990787493315997,-0.139820733246814,-0.7292159822117548,0.49422543497852084,1.5728828812405888,0.44098891345836855,0.34054424186456156,-0.7872533272053033,0.5724012286596175,False,False,True,0.9254557138304286,-1.0138569462605491,1.7560626196975921,3.366571937251718,-2.584606331099485,1.0986122886681098,0.005,0.004987541511039074,True,False,False,False,2.0,413,혜화동
11110650,20242,0.9721971931055685,1.6886871660699554,1.0900760399161271,0.7984942775449094,-0.7292159822117548,0.49422543497852084,1.905596501643805,0.43182650851973636,0.34054424186456156,-0.7872533272053033,0.5724012286596175,False,False,True,0.4035240839904823,0.026687686238066048,1.744432290414952,3.3273481603312125,-2.6871166313246055,1.0986122886681098,0.005,0.004987541511039074,False,True,False,False,2.0,418,혜화동
11110650,20243,0.7596425056640063,0.6761925404693702,0.3033751470875947,-0.05726506442922125,-0.7292159822117548,0.49422543497852084,1.5466732965799899,0.3758881414770771,0.34054424186456156,-0.7872533272053033,0.5724012286596175,False,False,True,1.4473873436703757,0.5469600024873738,1.7213610523580511,3.290258987435307,-2.7883308537941947,1.0986122886681098,0.005,0.004987541511039074,False,False,True,False,2.0,426,혜화동
11110650,20244,1.056885785820651,1.7496101594151308,1.0747129810206386,0.7546988898470203,-0.7292159822117548,0.49422543497852084,1.8113029629642672,0.4164347282129987,0.34619978072493474,-0.7872533272053033,0.5724012286596175,False,False,True,-1.1622708055293576,-1.5341292625098566,1.7261335883308777,3.251457455717481,-2.8909785936176773,1.0986122886681098,0.005,0.004987541511039074,False,False,False,True,2.0,429,혜화동
