행정동_코드,기준_년분기_코드,행정동,당월_매출_금액,행정동_코드_명_y,점포_수,개업_점포_수,폐업_점포_수,개업_률,폐업_률,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,운영_영업_개월_차이,폐업_영업_개월_차이,월_평균_소득_금액,음식_지출_총금액,의료비_지출_총금액,교육_지출_총금액,아파트_단지_수,아파트_평균_시가,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,집객시설_수,총_상주인구_수,행정동코드,총인구수_합,1인가구수_합,1인_가구비,20_30_인구비,31_50_인구비,51_75_인구비,행정동_명,업소수,전분기대비_유지율,전분기대비_증감업소수,점포수_대비_매출액,총_유동인구_수,총_직장인구_수,착한가격_업소수_비중,분기_20241,분기_20242,분기_20243,분기_20244,상권_변화_지표_HL,상권_변화_지표_LH,상권_변화_지표_LL,업소수_log,착한가격_업소수_비중_log,점포수_대비_매출액_log,월_평균_소득_금액_log,음식_지출_총금액_log,의료비_지출_총금액_log,교육_지출_총금액_log,아파트_단지_수_log,아파트_평균_시가_log,총_유동인구_수_log,총_직장인구_수_log,집객시설_수_log,1인_가구비_log,20_30_인구비_log,31_50_인구비_log,51_75_인구비_log
11110515,20234,청운효자동,8069572473,청운효자동,192,3,7,-1.1621407953018854,0.02716682564709277,상권확장,95,54,-7,3,3780222,1144297000,121084000,81415000,323,276146690,1506626,2098572,734641,489785,533814,612266,535564,699127,3480.0,1897.0,1.0,988.0,1564.0,1499.0,958.0,367.0,93,-1.325110192387733,1101072.0,10859.0,1730.0,0.159314854038125,0.2447739202504834,0.424256377198637,0.3309697025508794,,0.0,0.0,0.0,42029023,3605198,5377.0,0.0,False,False,False,False,False,True,False,0.0,0.0,0.035943723103801783,15.145293296029953,0.38470124105506665,-0.990246519876668,-0.31870455634941575,0.5590934350184703,-0.10572252267019054,-0.5828000008672372,0.48658061180294526,-0.42887595674657264,-0.2074219559103533,-0.325930709421335,1.045684850229675,-1.1057284408733963
11110515,20241,청운효자동,7204357231,청운효자동,193,9,8,0.4029893300608338,0.02716682564709277,상권확장,95,54,-8,2,3780222,386169000,32818000,32451000,323,276146690,1518780,2067431,686977,490851,552372,613608,525910,716492,3480.0,1897.0,1.0,988.0,1564.0,1499.0,958.0,367.0,93,-1.325110192387733,1101072.0,10900.0,1735.0,0.1591743119266055,0.2429357798165137,0.4204587155963303,0.336605504587156,,0.0,0.0,0.0,37328275,3586211,5377.0,0.0,True,False,False,False,False,True,False,0.0,0.0,-0.22184223317274734,15.145293296029953,-0.6205930162240362,-1.9864461703566971,-1.0866594365943523,0.5590934350184703,-0.10572252267019054,-0.5929677246912831,0.48658061180294526,-0.42887595674657264,-0.20945088969451717,-0.36858927000503616,0.9651302206803791,-1.0888436438619529
11110515,20242,청운효자동,7943375819,청운효자동,196,8,5,-0.1187207117267393,-0.4925702225912222,상권확장,96,54,-9,2,3780222,1206683000,111379000,92645000,323,276146690,1515525,2181560,763570,499676,569382,626972,536253,701232,3480.0,1897.0,1.0,988.0,1564.0,1499.0,958.0,367.0,93,-1.325110192387733,1101072.0,10965.0,1740.0,0.1586867305061559,0.2403100775193798,0.4148654810761514,0.3448244414044688,청운효자동,2.0,1.0,2.0,40527427,3697085,5377.0,0.01,False,True,False,False,False,True,False,1.0986122886681098,0.009950330853168083,-0.04312785785565486,15.145293296029953,0.4338288158630372,-1.0539981450862541,-0.2108239430177592,0.5590934350184703,-0.10572252267019054,-0.5343382938906389,0.48658061180294526,-0.42887595674657264,-0.21650376524144915,-0.430088328056528,0.8451537651379415,-1.0647198569610556
11110515,20243,청운효자동,6506518476,청운효자동,194,7,9,-0.1187207117267393,0.5469038738854077,상권확장,98,54,-9,2,3780222,335771000,37795000,28965000,323,276146690,1444215,2017188,670093,458637,537247,595906,525387,674133,3480.0,1897.0,1.0,988.0,1564.0,1499.0,958.0,367.0,93,-1.325110192387733,1101072.0,11029.0,1748.0,0.1584912503400126,0.2375555354066552,0.4093752833439115,0.3530691812494333,청운효자동,2.0,1.0,0.0,33538755,3461403,5377.0,0.01,False,False,True,False,False,True,False,1.0986122886681098,0.009950330853168083,-0.45450391349240166,15.145293296029953,-0.7500138892903202,-1.8787002716715395,-1.1815388191714011,0.5590934350184703,-0.10572252267019054,-0.6611742761981494,0.48658061180294526,-0.42887595674657264,-0.21933747756794286,-0.49533153383417206,0.7258039120749566,-1.041091260374002
11110515,20244,청운효자동,8941219003,청운효자동,194,5,5,-0.6404307535143124,-0.4925702225912222,상권확장,100,55,-9,3,3780222,1296167000,107450000,107098000,323,276146690,1467219,2113136,704962,487537,553130,616048,532655,686022,3453.0,1871.0,0.0,976.0,1558.0,1487.0,952.0,351.0,93,-1.325110192387733,1101072.0,11094.0,1814.0,0.1635118081846042,0.2349017486929872,0.4039120245177574,0.3611862267892554,청운효자동,2.0,1.0,0.0,46088757,3580355,5324.0,0.01,False,False,False,True,False,True,False,1.0986122886681098,0.009950330853168083,0.23635032407818438,15.145293296029953,0.5000323031524581,-1.0814025817377284,-0.08979059477358987,0.5590934350184703,-0.10572252267019054,-0.5961145340347861,0.47979903638922144,-0.42887595674657264,-0.14764341190855929,-0.5589077796887989,0.6054401141016554,-1.0183615899790355
11110530,20234,사직동,60809854752,사직동,661,27,23,-0.1187207117267393,-0.4925702225912222,정체,114,59,12,8,5007768,7120481000,2600723000,153184000,89,371237211,1894282,2199960,406638,634506,827459,800825,680226,744589,24316.0,14510.0,10.0,5130.0,10990.0,11706.0,7710.0,3280.0,206,-1.6042209532424487,1101053.0,7953.0,1992.0,0.2504715201810637,0.2552495913491764,0.3841317741732679,0.3606186344775556,,0.0,0.0,0.0,91996754,4094242,38826.0,0.0,False,False,False,False,False,False,False,0.0,0.0,1.738572855139007,15.4265008648104,2.076603415694312,1.3501495605825864,0.20901257530734654,-1.192508724276774,0.38558109726768675,-0.33786309459252883,1.840034056485009,1.363026635195503,0.8327589643845023,-0.08877049935920096,0.15560409346275955,-1.0199342932376243
11110530,20241,사직동,52882745683,사직동,663,23,21,-0.6404307535143124,-0.4925702225912222,정체,114,59,11,7,5007768,2158945000,637312000,55967000,89,371237211,1797562,2099076,355366,602055,805513,785468,645829,702408,24316.0,14510.0,10.0,5130.0,10990.0,11706.0,7710.0,3280.0,206,-1.6042209532424487,1101053.0,8936.0,2200.0,0.2461951656222023,0.2310877350044762,0.376230975828111,0.3926812891674127,사직동,2.0,1.0,0.0,79762814,3896638,38826.0,0.003,True,False,False,False,False,False,False,1.0986122886681098,0.002995508979798479,1.4284370614379038,15.4265008648104,0.9722068938258921,0.27704872472944786,-0.631618851710737,-1.192508724276774,0.38558109726768675,-0.4331142038824787,1.840034056485009,1.363026635195503,0.793169881334122,-0.6515486604599094,-0.030582044977484468,-0.9347569651658216
11110530,20242,사직동,56508424970,사직동,668,23,18,-0.6404307535143124,-0.4925702225912222,정체,115,59,10,7,5007768,6841435000,2230282000,176716000,89,371237211,1764792,2128214,372902,592181,803676,794677,638981,690588,24316.0,14510.0,10.0,5130.0,10990.0,11706.0,7710.0,3280.0,206,-1.6042209532424487,1101053.0,9879.0,2392.0,0.2421297702196578,0.2132806964267638,0.3812126733475048,0.4055066302257313,사직동,4.0,1.0,2.0,84593450,3893006,38826.0,0.006,False,True,False,False,False,False,False,1.6094379124341003,0.005982071677547464,1.5562319795205315,15.4265008648104,2.0396057974992434,1.2328943966331882,0.32832170373763386,-1.192508724276774,0.38558109726768675,-0.43490979989510875,1.840034056485009,1.363026635195503,0.7548909364241894,-1.1053523003934769,0.08726395803108952,-0.9026180548187105
11110530,20243,사직동,53233225236,사직동,671,25,22,-0.1187207117267393,-0.4925702225912222,정체,117,59,10,7,5007768,2371503000,808853000,88679000,89,371237211,1708012,2035460,336632,579438,768955,774539,624369,659538,24316.0,14510.0,10.0,5130.0,10990.0,11706.0,7710.0,3280.0,206,-1.6042209532424487,1101053.0,9606.0,2322.0,0.2417239225484072,0.2178846554236935,0.3838226108682073,0.3982927337080991,사직동,4.0,1.0,0.0,79334165,3743472,38826.0,0.006,False,False,True,False,False,False,False,1.6094379124341003,0.005982071677547464,1.4167255927298859,15.4265008648104,1.05911102555059,0.4589335801112058,-0.24735192127478509,-1.192508724276774,0.38558109726768675,-0.5103291410707713,1.840034056485009,1.363026635195503,0.7510343316441983,-0.9844899750946916,0.14839079155829296,-0.9205680322245715
11110530,20244,사직동,61286219011,사직동,674,18,15,-0.6404307535143124,-1.012307270829537,정체,119,59,10,7,5007768,7424001000,2095967000,248910000,89,371237211,1821772,2224944,376231,632016,805056,821914,671951,739546,28318.0,16897.0,7.0,5980.0,12797.0,13643.0,8976.0,3812.0,206,-1.6042209532424487,1101053.0,9681.0,2365.0,0.2442929449437041,0.214543952071067,0.3832248734634851,0.4022311744654477,사직동,4.0,1.0,0.0,90929108,4046716,45215.0,0.006,False,False,False,True,False,False,False,1.6094379124341003,0.005982071677547464,1.7132024426544095,15.4265008648104,2.1152345321797243,1.1854975278928164,0.6143109503757773,-1.192508724276774,0.38558109726768675,-0.36034541093785283,1.9443272517843853,1.363026635195503,0.7753382684923114,-1.0719317534554957,0.13442807761103243,-0.9107282947879267
11110550,20234,부암동,2611094704,부암동,76,2,5,-0.6404307535143124,1.5863779703620378,정체,106,57,4,6,3647449,869082000,83372000,69402000,189,259634651,524518,641978,233661,157796,128847,186598,181640,277957,591.0,464.0,0.0,177.0,310.0,291.0,201.0,76.0,84,-1.599202694699684,1101055.0,9184.0,1558.0,0.1696428571428571,0.2918118466898954,0.3693379790940767,0.3388501742160278,,0.0,0.0,0.0,34356509,1166496,1055.0,0.0,False,False,False,False,False,False,False,0.0,0.0,-0.40214692875846986,15.109538577101752,0.13010100502257907,-1.275004631046742,-0.4519895119573259,-0.16913098486883893,-0.20809245426403106,-2.7555151647344074,-0.6283741892291563,-0.6582108276616578,-0.06301933300970147,0.6688149185077245,-0.19624072639945142,-1.0821972332610656
11110550,20241,부암동,1985413168,부암동,76,1,1,-1.6838508370894583,-1.5320443190678519,정체,108,57,5,5,3647449,240548000,25191000,22306000,189,259634651,488605,591117,211768,132020,120105,175369,173451,267011,591.0,464.0,0.0,177.0,310.0,291.0,201.0,76.0,84,-1.599202694699684,1101055.0,9226.0,1582.0,0.1714719271623672,0.2895079124214177,0.3661391719054845,0.3443529156730978,,0.0,0.0,0.0,26123857,1079722,1055.0,0.0,True,False,False,False,False,False,False,0.0,0.0,-0.9975346877401033,15.109538577101752,-1.0586620245885092,-2.1882720710559123,-1.3996390694417984,-0.16913098486883893,-0.20809245426403106,-2.904360170579883,-0.6283741892291563,-0.6582108276616578,-0.03836518574526512,0.623956483397305,-0.27417045896482,-1.0660882298482497
