Metric,Value,Variable,Coef.,Std.Err.,T-Stat,P-Value,CI Lower,CI Upper
No. of Observations,1905.0,,,,,,,
No. of Time Periods,5.0,,,,,,,
R-squared (Overall),0.1824,,,,,,,
Adjusted R-squared,0.1738,,,,,,,
R-squared (Within),0.1066,,,,,,,
R-squared (Between),0.1892,,,,,,,
Log-likelihood,5140.51,,,,,,,
F-statistic,22.14,,,,,,,
F-statistic (p-value),0.0,,,,,,,
RMSLE,0.0163,,,,,,,
---,---,,,,,,,
,,Intercept,0.0142,0.0011,12.5819,0.0,0.012,0.0164
,,점포수_대비_매출액_log,-0.0007,0.0005,-1.2983,0.1943,-0.0017,0.0003
,,상권_변화_지표_HL_lag1[T.True],0.0042,0.0012,3.4397,0.0006,0.0018,0.0066
,,상권_변화_지표_LH_lag1[T.True],-0.0032,0.0013,-2.572,0.0102,-0.0057,-0.0008
,,상권_변화_지표_LL_lag1[T.True],-0.0052,0.0011,-4.6833,0.0,-0.0073,-0.003
,,폐업_률_log_lag1,0.0015,0.0004,3.8228,0.0001,0.0007,0.0022
,,음식_지출_총금액_log_lag1,-0.0041,0.0009,-4.6519,0.0,-0.0058,-0.0024
,,아파트_평균_시가_log,-0.0007,0.0006,-1.1422,0.2535,-0.002,0.0005
,,아파트_단지_수_log,0.0007,0.0006,1.3062,0.1916,-0.0004,0.0018
,,유동인구_10_30대_log,0.0012,0.0017,0.7065,0.48,-0.0021,0.0045
,,유동인구_40_이상_log,-0.0017,0.0015,-1.1363,0.256,-0.0047,0.0012
,,총_직장인구_수_log_lag1,-0.0028,0.0006,-5.0527,0.0,-0.0039,-0.0017
,,집객시설_수_log,0.0005,0.0007,0.7365,0.4615,-0.0008,0.0018
,,총_상주인구_수,0.0005,0.0006,0.7785,0.4364,-0.0007,0.0016
,,20_30_인구비_log_lag1,0.0024,0.0008,3.0506,0.0023,0.0009,0.0039
,,31_50_인구비_log,0.0004,0.0006,0.5716,0.5677,-0.0009,0.0016
,,분기_20241,0.002,0.0012,1.6363,0.1019,-0.0004,0.0044
,,분기_20242,0.0016,0.0016,1.0504,0.2937,-0.0014,0.0047
,,분기_20243,0.0073,0.0013,5.3961,0.0,0.0046,0.0099
,,분기_20244,0.0049,0.0016,3.0486,0.0023,0.0017,0.008
