기준_년분기_코드,행정동_코드,행정동,당월_매출_금액,행정동_코드_명_y,점포_수,개업_점포_수,폐업_점포_수,개업_률,폐업_률,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,운영_영업_개월_차이,폐업_영업_개월_차이,월_평균_소득_금액,음식_지출_총금액,의료비_지출_총금액,교육_지출_총금액,아파트_단지_수,아파트_평균_시가,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,집객시설_수,총_상주인구_수,행정동코드,총인구수_합,1인가구수_합,1인_가구비,20_30_인구비,31_50_인구비,51_75_인구비,행정동_명,업소수,전분기대비_유지율,전분기대비_증감업소수,총_유동인구_수,점포수_대비_매출액,유동인구_10_30대,유동인구_40_이상,총_직장인구_수,착한가격_업소수_비중,상권_변화_지표_HH,상권_변화_지표_HL,상권_변화_지표_LH,상권_변화_지표_LL,업소수_log,착한가격_업소수_비중_log,점포수_대비_매출액_log,월_평균_소득_금액_log,음식_지출_총금액_log,의료비_지출_총금액_log,교육_지출_총금액_log,아파트_단지_수_log,아파트_평균_시가_log,총_유동인구_수_log,유동인구_10_30대_log,유동인구_40_이상_log,총_직장인구_수_log,집객시설_수_log,개업_률_log,폐업_률_log,1인_가구비_log,20_30_인구비_log,31_50_인구비_log,소비활성도 축,청년밀집도 축,hier_cluster,kmeans_cluster,hier_cluster_label,kmeans_cluster_label
20224,11110515,청운효자동,8256340673,청운효자동,193,8,6,0.04,0.03,상권확장,92,52,-7,1,3780222,1219998000,130907000,51331000,323,276146690,1568711,2141514,729145,504040,542640,648006,534191,752205,4377.0,2369.0,5.0,1236.0,1971.0,1894.0,1195.0,445.0,93,-1.0014571534979113,1101072.0,10779.0,1677.0,0.1555802950180907,0.2487243714630299,0.4313943779571388,0.3198812505798311,,0.0,0.0,0.0,3710225,128336901,1775825,1934402,6746.0,0.0,False,False,True,False,0.0,0.0,0.12168832149318594,15.145293296029953,0.3881369667255222,-0.8666824419672353,-0.6916487862331713,0.5702410459616054,-0.15123798939481797,-0.4193294467267517,14.389775661643222,14.475308792754454,0.5998742514033343,-0.3831018835414246,-0.1814286947703722,-0.4825737732788407,-1.8605933139584196,-0.2843532835730371,0.9275150894811472,0.7549599720961647,-1.355595308727596,3,0,중장년 밀집지역,중장년 밀집지역
20224,11110530,사직동,59608572752,사직동,650,30,22,0.05,0.03,정체,111,58,12,7,5007768,6702922000,1713466000,160294000,89,371237211,1879289,2166178,413661,632873,805153,804335,648516,740929,21967.0,13127.0,14.0,4645.0,9916.0,10573.0,6962.0,2984.0,206,-1.4974974615949963,1101053.0,7857.0,1768.0,0.2250222731322387,0.2609138347969963,0.39124347715413,0.3478426880488736,사직동,2.0,1.0,2.0,4045467,275116488,1851687,2193780,35094.0,0.003,True,False,False,False,1.0986122886681098,0.002995508979798479,1.3873261339225005,15.4265008648104,1.8491899568813337,0.9291072380369927,0.17853706417578785,-0.8639053585556168,0.3110785900594081,-0.27014576388359757,14.431607673425576,14.601136641316483,1.6770567103443903,1.2498875977554844,0.24887724465731914,-0.4825737732788407,-1.4915558899782333,-0.05168074597890488,0.1958308067497894,2.1110713716582987,-0.5199779315072262,1,1,최대소비 지역,고소비 지역
20224,11110540,삼청동,17526882388,삼청동,158,8,4,0.05,0.03,상권확장,92,55,-7,4,3442534,1495946000,74137000,5444000,9,401044841,430515,494758,123113,143422,155288,167126,142629,193696,3332.0,704.0,0.0,481.0,1082.0,1272.0,961.0,240.0,49,-2.143347864952001,1101054.0,2370.0,789.0,0.3329113924050633,0.2168776371308017,0.370464135021097,0.4126582278481012,,0.0,0.0,0.0,925273,332788905,421823,503451,4036.0,0.0,False,False,True,False,0.0,0.0,1.7032041776502718,15.051718386079385,0.5630055870064945,-1.263696942724574,-2.4063066885103153,-3.4133074621015362,0.431742820249742,-2.8143521543280965,12.952341073752626,13.129241667636355,0.2643272924824746,-1.698852385718884,0.24887724465731914,-0.4825737732788407,-1.0998789132833027,-0.9506511046578936,-0.21290546388961676,0.6042757382766331,-1.8335749366607588,3,0,중장년 밀집지역,중장년 밀집지역
20224,11110550,부암동,2998088386,부암동,86,4,1,0.05,0.01,정체,100,56,1,5,3647449,1013196000,129187000,75520000,189,259634651,523323,642361,222727,148859,131975,187899,177661,296566,693.0,548.0,0.0,208.0,359.0,339.0,242.0,93.0,84,-1.3595317955357142,1101055.0,9104.0,1539.0,0.1690465729349736,0.2958040421792619,0.3763181019332162,0.3278778558875219,,0.0,0.0,0.0,1165684,104584476,503561,662126,1241.0,0.0,True,False,False,False,0.0,0.0,-0.21800740817222525,15.109538577101752,0.2288505924015865,-0.8759178273764371,-0.3965959044153708,-0.026001901057385524,-0.24756806858172023,-2.416018708764906,13.129460135738896,13.40321114913453,-0.5060176007116525,-0.592098418053399,0.24887724465731914,-1.413768701969945,-1.777581022527233,0.5586673984069912,-0.09548140398275258,0.03282821460137601,0.2087175970747526,4,0,저소비 지역,중장년 밀집지역
20224,11110560,평창동,4245881692,평창동,82,1,3,0.01,0.04,정체,113,59,14,8,4504006,858309000,246546000,133381000,294,480839259,369540,481224,141212,91112,93218,130440,146039,248742,8020.0,6259.0,0.0,1761.0,3843.0,4697.0,3106.0,872.0,162,-0.4703222403618995,1101056.0,15369.0,1609.0,0.104691261630555,0.2349534777799466,0.3919578372047628,0.3730886850152905,,0.0,0.0,0.0,850764,155337135,325542,525221,14279.0,0.0,True,False,False,False,0.0,0.0,0.4386040645872287,15.320477780949977,0.08657750432664278,-0.42463747878302804,0.038080378770936875,0.46557685044143665,0.7152484261865535,-2.9591374509203168,12.69324676456488,13.171574405379117,1.089671280307832,0.7565065483832958,-1.4976190730690304,-0.02373523026992307,-2.256739625614929,-0.5613425881298763,0.20949348320975944,0.6156648802277614,-0.7706968146146695,3,0,중장년 밀집지역,중장년 밀집지역
20224,11110570,무악동,1155983874,무악동,25,3,0,0.12,0.0,정체,104,60,5,9,5136717,153822000,1730410000,75223000,47,660258193,878313,1075572,386937,231034,233153,290652,287370,524739,129.0,366.0,0.0,141.0,142.0,128.0,61.0,23.0,42,-1.496949108391263,1101057.0,6358.0,786.0,0.1236237810632274,0.210915382195659,0.4482541679773513,0.3408304498269896,,0.0,0.0,0.0,1953885,138718062,851124,1102761,495.0,0.0,True,False,False,False,0.0,0.0,0.25079342009149747,15.451924717412108,-1.3877454564471605,0.9359782787387758,-0.3996071551285754,-1.5742816487046396,1.2106696990899173,-1.525254236647443,13.654313107869024,13.91332759297978,-1.1063852702859025,-2.015379257943907,3.1509568854335583,-1.886304140645769,-2.090512349041542,-1.0862151920657734,1.2146513715787075,-1.331580568042375,-1.286170448884158,3,0,중장년 밀집지역,중장년 밀집지역
20224,11110580,교남동,3215290636,교남동,63,1,1,0.02,0.02,상권확장,82,56,-17,5,4616890,552284000,1031741000,156246000,231,235058041,1694551,2060370,802953,425992,481832,661856,548929,833361,395.0,269.0,0.0,67.0,171.0,185.0,139.0,102.0,78,-1.94286993366713,1101058.0,4142.0,695.0,0.1677933365523901,0.2317720907774022,0.4056011588604539,0.3626267503621438,,0.0,0.0,0.0,3754921,153109077,1710777,2044146,664.0,0.0,False,False,True,False,0.0,0.0,0.414624912113393,15.345231876210722,-0.2915307245658187,0.5748977120989538,0.15899085054868198,0.19726233055255404,-0.4029338638706525,-0.39867810393899766,14.352458211241714,14.530490656326261,-0.9145239457269843,-0.7442687792807567,-1.054594528685548,-0.9458888605493475,-1.7850221963907378,-0.6276407243370745,0.46575983103028323,-0.5124369072465446,-1.4329069998784991,3,0,중장년 밀집지역,중장년 밀집지역
20224,11110600,가회동,20267343793,가회동,168,7,2,0.04,0.01,상권확장,99,58,0,7,3479766,1148754000,17232000,47690000,126,284759882,717062,753307,225790,207942,262486,281908,229895,262347,8528.0,2917.0,1.0,1223.0,3951.0,3439.0,2148.0,683.0,63,-1.9510952317231287,1101060.0,3981.0,1132.0,0.284350665661894,0.2388847023360964,0.39939713639789,0.3617181612660136,,0.0,0.0,0.0,1470369,361916853,696218,774150,11445.0,0.0,False,False,True,False,0.0,0.0,1.842469473680874,15.062475608110544,0.3365352688644243,-2.2825686802830307,-0.7478720782510264,-0.477118371242166,-0.10325149952543008,-2.0155625470542513,13.45341810866472,13.559520932244983,0.9451588714594367,-1.182813338613048,-0.1814286947703722,-1.413768701969945,-1.257547064237189,-0.4806474351341586,0.3503138253111225,1.0578562509087726,-1.8935488385119732,3,0,중장년 밀집지역,중장년 밀집지역
20224,11110615,종로1·2·3·4가동,149327295039,종로1·2·3·4가동,1553,91,60,0.06,0.04,정체,141,65,42,14,3245251,19561385000,6723700000,1349117000,9,278382323,7814256,6397444,758891,2763809,2806214,2686086,2303819,2892884,63962.0,52060.0,1532.0,23530.0,35387.0,31829.0,18187.0,5557.0,500,-1.6548748310664347,1101061.0,6938.0,4519.0,0.6513404439319689,0.2657826462957625,0.3346785817238397,0.3995387719803978,종로1.2.3.4가동,7.0,1.0,7.0,14211700,288462255,6328914,7882789,116022.0,0.005,True,False,False,False,2.0794415416798357,0.004987541511039074,1.4659490879087704,14.992703254897863,2.7676693227446294,1.883720231414537,1.806395440409615,-3.4133074621015362,-0.13864033077806,1.8967318784785416,15.660639215420533,15.880192333224347,2.4581226429535628,3.070667658558293,0.6751043934321689,-0.02373523026992307,-0.42872281811841534,0.038230620682744916,-0.9737499231587228,3.0579438445427694,-0.45820083739613093,1,1,최대소비 지역,고소비 지역
20224,11110630,종로5·6가동,25263983020,종로5·6가동,373,7,6,0.02,0.02,정체,132,65,33,14,2531450,3183631000,2810172000,104407000,10,127248788,3519014,3264237,409114,1107444,1047425,1088025,1320662,1810583,11964.0,7152.0,437.0,4501.0,5551.0,4724.0,2880.0,1023.0,212,-1.8451533927618675,1101063.0,4944.0,2124.0,0.4296116504854368,0.2944983818770226,0.3434466019417476,0.3620550161812297,종로5.6가동,1.0,1.0,1.0,6783251,203195571,2563983,4219270,19116.0,0.003,True,False,False,False,0.6931471805599453,0.002995508979798479,0.8843716719341495,14.744302819061355,1.2107040041213524,1.274558362974847,-0.1490778173454181,-3.296084394148356,-1.361736274519475,0.6212185706188342,14.757072466735506,15.255172685266437,1.2802336262685274,1.3088397867850667,-1.054594528685548,-0.9458888605493475,-0.8448736167756974,0.53715464368565,-0.7800596619604625,1.6125310161973916,-0.08135755617842408,2,1,청년밀집·고소비지역,고소비 지역
